premise	hypothesis	label	premise_yoruba	hypothesis_yoruba
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	Part of the text of the constitution was written in 1787.	0	Ìwé òfin ti 1787 ti sọ ẹ̀tọ́ àwọn tí ó ní ẹrú láti gba àwọn ẹrú tí wọ́n ti sá lọ sí agbègbè òmìnira.	A kọ apakan ti awọn ọrọ ti awọn ofin ni 1787.
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	The right to recover slaves from free territories was not a popular right.	1	Ìwé òfin ti 1787 ti sọ ẹ̀tọ́ àwọn tí ó ní ẹrú láti gba àwọn ẹrú tí wọ́n ti sá lọ sí agbègbè òmìnira.	Ofin lati gba awọn ẹrú lati awọn agbegbe ti o ni ominira ko jẹ ẹtọ gbajumo.
Steve Harris, a molecular biologist from Texas was visiting.	Steve Harris refused to leave his house for any reason.	2	Steve Harris, a molecular biologist lati Texas wà àbẹwò.	Ni afikun, Steve Harris kọ lati lọ kuro ni ile rẹ fun idi kan.
Steve Harris, a molecular biologist from Texas was visiting.	Steve was a biologist from out of town.	0	Steve Harris, a molecular biologist lati Texas wà àbẹwò.	Steve jẹ onimọ-jinlẹ lati inu ilu.
Steve Harris, a molecular biologist from Texas was visiting.	Steve was visiting California to study a new sample.	1	Steve Harris, a molecular biologist lati Texas wà àbẹwò.	Steve n lọ si California lati kẹkọọ ayẹwo tuntun kan.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	Most than one hundred officers served in each chapter.	2	Àwọn ọmọ ẹgbẹ́ náà wà láàárín ọgọ́rùn-ún àti ọgọ́rùn-ún àwọn ọkunrin àgbàlagbà ní ẹ̀ka kan (tí wọ́n ń pè ní moradas) tí wọ́n sì pín sí àwọn ọmọ ẹgbẹ́ méjì tí wọ́n ń pè ní hermanos disciplantes (ẹ̀gbẹ́ tí wọ́n ń ṣe ìdánimọ̀), àti àwọn òṣìṣẹ́, tí wọ́n ń pè ní hermanos de luz (ẹ̀gbẹ́ ìmọ	O ju ọgọrun awọn oṣiṣẹ lọ ṣiṣẹ ni ori kọọkan.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	The chapters contained both common members and officers.	0	Àwọn ọmọ ẹgbẹ́ náà wà láàárín ọgọ́rùn-ún àti ọgọ́rùn-ún àwọn ọkunrin àgbàlagbà ní ẹ̀ka kan (tí wọ́n ń pè ní moradas) tí wọ́n sì pín sí àwọn ọmọ ẹgbẹ́ méjì tí wọ́n ń pè ní hermanos disciplantes (ẹ̀gbẹ́ tí wọ́n ń ṣe ìdánimọ̀), àti àwọn òṣìṣẹ́, tí wọ́n ń pè ní hermanos de luz (ẹ̀gbẹ́ ìmọ	Àwọn ẹ̀ka náà ní àwọn ọmọ ẹgbẹ́ àpapọ̀ àti àwọn òṣìṣẹ́.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	These units were responsible for converting native populations in Central America.	1	Àwọn ọmọ ẹgbẹ́ náà wà láàárín ọgọ́rùn-ún àti ọgọ́rùn-ún àwọn ọkunrin àgbàlagbà ní ẹ̀ka kan (tí wọ́n ń pè ní moradas) tí wọ́n sì pín sí àwọn ọmọ ẹgbẹ́ méjì tí wọ́n ń pè ní hermanos disciplantes (ẹ̀gbẹ́ tí wọ́n ń ṣe ìdánimọ̀), àti àwọn òṣìṣẹ́, tí wọ́n ń pè ní hermanos de luz (ẹ̀gbẹ́ ìmọ	Àwọn ẹ̀ka wọ̀nyí ló ní ẹ̀tọ́ fún ìyípadà àwọn ará ìlú ní Central America.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	Children do not usually learn to communicate until the age of six.	2	Fun 4-ati 5-odun-atijọ, ibeere diẹ igbagbogbo koju itan agbari (Kini o ṣẹlẹ nigbamii?	Awọn ọmọde nigbagbogbo ko kọ ẹkọ lati ṣe ibaraẹnisọrọ titi di ọdun mẹfa.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	Five year olds are concerned with what happens next.	0	Fun 4-ati 5-odun-atijọ, ibeere diẹ igbagbogbo koju itan agbari (Kini o ṣẹlẹ nigbamii?	Awọn ọdun marun ti o wa ni ibamu pẹlu ohun ti o ṣẹlẹ lẹhinna.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	Five year olds are generally considered poor conversationalists.	1	Fun 4-ati 5-odun-atijọ, ibeere diẹ igbagbogbo koju itan agbari (Kini o ṣẹlẹ nigbamii?	Awọn ọdun marun ni a ṣe akiyesi ni gbogbo agbaye bi awọn alabaṣepọ ti ko dara.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Convergent flow allows classification.	0	Ni oye, sisanra diẹ diẹ ni aaye ipinlẹ faye gba iyatọ, nitori nigbati awọn ipinlẹ meji ba darapọ mọ ipinlẹ kan ti o dije, awọn ipinlẹ meji wọnyi ti pin bi deede nipasẹ nẹtiwọki naa.	Convergent sisan faye gba classification.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Convergent flow is influenced by population.	1	Ni oye, sisanra diẹ diẹ ni aaye ipinlẹ faye gba iyatọ, nitori nigbati awọn ipinlẹ meji ba darapọ mọ ipinlẹ kan ti o dije, awọn ipinlẹ meji wọnyi ti pin bi deede nipasẹ nẹtiwọki naa.	Awọn olugbe ni ipa nipasẹ iṣelọpọ iṣelọpọ.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Convergent flow prevents classification.	2	Ni oye, sisanra diẹ diẹ ni aaye ipinlẹ faye gba iyatọ, nitori nigbati awọn ipinlẹ meji ba darapọ mọ ipinlẹ kan ti o dije, awọn ipinlẹ meji wọnyi ti pin bi deede nipasẹ nẹtiwọki naa.	Îá ýòîì ãîäó íå ìîæåò áûòü ïîëó÷èòüñÿ.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	A nonstationary world is undesirable to some if it must account for information from the distant past.	0	Nitorina, wọn n ṣẹda aye ti ko ni iṣiro nibiti nikan awọn ti o ti kọja laipe ni data ti o wulo.	Ni afikun, awọn eniyan ti ko ni imọran ti o ni imọran ti o dara julọ yoo ni lati gba alaye lati igba diẹ sẹhin.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	All data from every time frame is valid for any world.	2	Nitorina, wọn n ṣẹda aye ti ko ni iṣiro nibiti nikan awọn ti o ti kọja laipe ni data ti o wulo.	Gbogbo data lati gbogbo akoko fireemu jẹ wulo fun eyikeyi aye.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	These hypothetical worlds are used to forecast weather patterns.	1	Nitorina, wọn n ṣẹda aye ti ko ni iṣiro nibiti nikan awọn ti o ti kọja laipe ni data ti o wulo.	Awọn aaye wọnyi ni a lo lati ṣe asọtẹlẹ awọn ipo ti oju ojo.
And, therefore, the state was not responsible for these private persons denying  social rights  to black citizens.	Some private persons denied social rights to black citizens.	0	Ati, nitorina, ipinlẹ ko ni idiwọ fun awọn eniyan aladani wọnyi ti o kọ awọn ẹtọ awujọ fun awọn ọmọ ilu dudu.	Diẹ ninu awọn eniyan aladani kọ awọn ẹtọ awujọ fun awọn ara ilu dudu.
And, therefore, the state was not responsible for these private persons denying  social rights  to black citizens.	The private persons were white.	1	Ati, nitorina, ipinlẹ ko ni idiwọ fun awọn eniyan aladani wọnyi ti o kọ awọn ẹtọ awujọ fun awọn ọmọ ilu dudu.	Awọn eniyan aladani jẹ funfun.
And, therefore, the state was not responsible for these private persons denying  social rights  to black citizens.	The state was entirely responsible for the behavior of the private persons.	2	Ati, nitorina, ipinlẹ ko ni idiwọ fun awọn eniyan aladani wọnyi ti o kọ awọn ẹtọ awujọ fun awọn ọmọ ilu dudu.	Ìpínlẹ̀ náà jẹ́ ẹ̀wọ̀n ìwà àwọn ènìyàn aládàáṣiṣẹ́.
No difference exists between younger and older classmates in achievement test scores.	While test results for young and older classmates are the same, younger classmates finish test faster	1	Ko si iyatọ laarin awọn ọmọde kekere ati awọn agbalagba ni awọn akọsilẹ idanwo aṣeyọri.	Lakoko ti awọn abajade idanwo fun awọn ọmọde ati awọn agbalagba jẹ kanna, awọn ọmọ ile-iwe kekere pari idanwo yiyara
No difference exists between younger and older classmates in achievement test scores.	Young and old classmates achieve same results in test scores.	0	Ko si iyatọ laarin awọn ọmọde kekere ati awọn agbalagba ni awọn akọsilẹ idanwo aṣeyọri.	Awọn ọmọde ati awọn ọmọ ile-iwe atijọ ṣe iṣeduro awọn abajade kanna ni awọn akọsilẹ idanwo.
No difference exists between younger and older classmates in achievement test scores.	Young and old classmates have different test results as age is a factor	2	Ko si iyatọ laarin awọn ọmọde kekere ati awọn agbalagba ni awọn akọsilẹ idanwo aṣeyọri.	Awọn ọmọde ati awọn agbalagba ni awọn esi idanwo oriṣiriṣi bi ori jẹ ifosiwewe kan
Darwin starts with life already here.	Darwin started by focusing on fish.	1	Darwin bẹrẹ pẹlu igbesi aye tẹlẹ nibi.	Darwin bẹrẹ nipasẹ idojukọ lori eja.
Darwin starts with life already here.	Darwin started with life that already existed.	0	Darwin bẹrẹ pẹlu igbesi aye tẹlẹ nibi.	Darwin bẹrẹ pẹlu aye ti o tẹlẹ tẹlẹ.
Darwin starts with life already here.	Darwin was only focused on studying dead things.	2	Darwin bẹrẹ pẹlu igbesi aye tẹlẹ nibi.	Darwin nikan ni idojukọ lori kẹkọọ awọn nkan ti o ku.
The most common cause during toddlerhood and the preschool years is repeated otitis media, or middle ear infection.	Middle ear infection is the most common cause for toddlers.	0	Ohun ti o wọpọ julọ nigba ọmọde ati awọn ọdun ile-iwe ni igbagbogbo otitis media, tabi arun eti arin.	Ọpọlọpọ awọn iṣoro ti o wọpọ julọ jẹ idi ti awọn ọmọde ti o wọpọ julọ.
The most common cause during toddlerhood and the preschool years is repeated otitis media, or middle ear infection.	Otitis media is incredibly rare during a child's preschool years.	2	Ohun ti o wọpọ julọ nigba ọmọde ati awọn ọdun ile-iwe ni igbagbogbo otitis media, tabi arun eti arin.	Otitis media jẹ iyalẹnu gidigidi ni akoko ọmọde ile-iwe.
The most common cause during toddlerhood and the preschool years is repeated otitis media, or middle ear infection.	The majority of toddlers will get a middle ear infection.	1	Ohun ti o wọpọ julọ nigba ọmọde ati awọn ọdun ile-iwe ni igbagbogbo otitis media, tabi arun eti arin.	Ọpọlọpọ awọn ọmọde yoo ni ipalara ti o ni irọrun.
When civil society turns a deaf ear, crazy ideas lose their edge.	Crazy ideas are less edgy when they are ignored by civil society.	0	Ïðè ýòîì ïîñëåäíèêîì ñàìîì äåëå, êîòîðûå ìîæåò áûòü ñàìîì äåëå.	Awọn eniyan ti o wa ni idunnu ko ni idunnu nigbati awọn eniyan ti o wa ni idunnu.
When civil society turns a deaf ear, crazy ideas lose their edge.	Crazy ideas become more popular with civil society when they are ignored by civil society.	2	Ïðè ýòîì ïîñëåäíèêîì ñàìîì äåëå, êîòîðûå ìîæåò áûòü ñàìîì äåëå.	Crazy ero di diẹ gbajumo pẹlu awujo awujo nigba ti won ti wa ni ignored nipa awujo awujo.
When civil society turns a deaf ear, crazy ideas lose their edge.	Most crazy ideas are ignored by civil society.	1	Ïðè ýòîì ïîñëåäíèêîì ñàìîì äåëå, êîòîðûå ìîæåò áûòü ñàìîì äåëå.	Ọpọlọpọ awọn eniyan ti o wa ni idunnu ni a ṣe akiyesi nipasẹ awọn eniyan ti o ni idunnu.
Indeed, part of what we need is a way of characterizing the organization of real processes in the nonequilibrium world.	We need labels so we can see where the organization is doing well.	1	Ni otitọ, ọna ti a nilo lati ṣe akiyesi awọn iṣoro ti o wa ni agbaye ti ko ni idiyele.	A nilo awọn akọle ki a le rii ibi ti agbari n ṣiṣẹ daradara.
Indeed, part of what we need is a way of characterizing the organization of real processes in the nonequilibrium world.	We need to label the organization.	0	Ni otitọ, ọna ti a nilo lati ṣe akiyesi awọn iṣoro ti o wa ni agbaye ti ko ni idiyele.	A gbọdọ ṣe akopọ ile-iṣẹ naa.
Indeed, part of what we need is a way of characterizing the organization of real processes in the nonequilibrium world.	We shouldn't label anything.	2	Ni otitọ, ọna ti a nilo lati ṣe akiyesi awọn iṣoro ti o wa ni agbaye ti ko ni idiyele.	A ko gbọdọ ṣe akọle ohunkohun.
He turned in appeal to Lord Julian.	He wanted to ask Lord Julian something.	0	Ó ìåíÿ íåò ïðîñòàâëåíèå ïîëó÷èëà.	O ni lati beere Oluwa Julian nkankan.
He turned in appeal to Lord Julian.	He wanted to ask Lord Julian to spare his wife.	1	Ó ìåíÿ íåò ïðîñòàâëåíèå ïîëó÷èëà.	Ó fẹ́ kí Olúwa Júlíà pa ìyàwó rẹ̀.
He turned in appeal to Lord Julian.	Lord Julian was nowhere to be seen.	2	Ó ìåíÿ íåò ïðîñòàâëåíèå ïîëó÷èëà.	Oluwa Julian ko si nibikibi lati ri.
Jeremy Pitt answered the laugh with an oath.	Jeremy Pitt answered the laugh by giggling and throwing an uppercut into the laugher's face.	2	Êîãäà ïåðâûé ïîäõîäèò íà ïîëó÷èëñÿ ïîäõîäèò íà ïîëó÷èëñÿ.	Êîãäà ïðîáëåìà ïðîáëåìà ïðîáëåìà íà ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ïîëó÷èëñÿ.
Jeremy Pitt answered the laugh with an oath.	Jeremy Pitt swore to fight for his country and his queen.	1	Êîãäà ïåðâûé ïîäõîäèò íà ïîëó÷èëñÿ ïîäõîäèò íà ïîëó÷èëñÿ.	Jeremy Pitt yàn lati ja fun orilẹ-ede rẹ ati ayaba rẹ.
Jeremy Pitt answered the laugh with an oath.	Someone laughed near Jeremy Pitt.	0	Êîãäà ïåðâûé ïîäõîäèò íà ïîëó÷èëñÿ ïîäõîäèò íà ïîëó÷èëñÿ.	Ati awọn ti o dara ju ti o dara ju ti o dara ju Jeremy Pitt.
Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.	Pitt had never seen his lordship as grave as he was then.	1	Pitt, ti o wo awọn ibi lati mẹẹdogun-dekun iṣinipopada, sọ fun wa wipe rẹ oluwa wà bi ibojì bi a parson ni a hanging.	Pitt kò rí olódùmarè rẹ̀ gẹ́gẹ́ bí ibojì bí ó ti wà nígbà náà.
Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.	Pitt swore that he did not get a glimpse of the scene.	2	Pitt, ti o wo awọn ibi lati mẹẹdogun-dekun iṣinipopada, sọ fun wa wipe rẹ oluwa wà bi ibojì bi a parson ni a hanging.	Pitt ṣe òrìṣà pé òun kò rí ibi tí ó wà níbẹ̀.
Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.	Pitt witnessed how his lordship was serious during the scene.	0	Pitt, ti o wo awọn ibi lati mẹẹdogun-dekun iṣinipopada, sọ fun wa wipe rẹ oluwa wà bi ibojì bi a parson ni a hanging.	Pitt jẹri bi oluwa rẹ ṣe jẹ gidigidi lakoko ibi-afẹde naa.
The Colonel accepted it, and belatedly bowed, removing his broad hat.	The Colonel accepted a medal from the mayor of New York City.	1	Ó ìåíÿ íåò, êîòîðûé ìîæåò áûòü, êîòîðûé ìîæåò áûòü.	O gba ami-ẹri lati ọdọ Mayor Mayor ti Ilu New York.
The Colonel accepted it, and belatedly bowed, removing his broad hat.	The Colonel refused what he was being given and kept his hat on in a sign of defiance.	2	Ó ìåíÿ íåò, êîòîðûé ìîæåò áûòü, êîòîðûé ìîæåò áûòü.	Ó ìåíÿ òàêîé ïîëó÷èëñÿ, êîòîðûé ïîëó÷èëñÿ íà ïîëó÷èëñÿ íà ïîëó÷èëñÿ.
The Colonel accepted it, and belatedly bowed, removing his broad hat.	The Colonel was wearing a hat.	0	Ó ìåíÿ íåò, êîòîðûé ìîæåò áûòü, êîòîðûé ìîæåò áûòü.	Ọ̀gágun náà ń wọ okùn.
You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.	He believed the crime committed could have been genocide.	1	Ẹ̀yin ni ẹ̀fọ̀rùn yín láti gbà mí lọ́wọ́, nítorí èmi kì yóò gbà ọwọ́ yín nígbà tí mo mọ̀ bí wọ́n ṣe ń ṣọ́; nígbà tí mo mọ̀ yín nígbà tí ó jẹ́ ológun, tí ó sì jẹ́ díẹ̀ jùlọ?	O gbagbọ pe ẹṣẹ ti a ti ṣe le jẹ igbẹkẹle.
You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.	He chose not to take his hands because they are tainted with a crime.	0	Ẹ̀yin ni ẹ̀fọ̀rùn yín láti gbà mí lọ́wọ́, nítorí èmi kì yóò gbà ọwọ́ yín nígbà tí mo mọ̀ bí wọ́n ṣe ń ṣọ́; nígbà tí mo mọ̀ yín nígbà tí ó jẹ́ ológun, tí ó sì jẹ́ díẹ̀ jùlọ?	Ó íàñ òóò íåò, êîòîðûå ìîæåò áûòü.
You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse?   He stared at her open-mouthed.	He chose to take her hands because they were small, delicate, and most of all, clean.	2	Ẹ̀yin ni ẹ̀fọ̀rùn yín láti gbà mí lọ́wọ́, nítorí èmi kì yóò gbà ọwọ́ yín nígbà tí mo mọ̀ bí wọ́n ṣe ń ṣọ́; nígbà tí mo mọ̀ yín nígbà tí ó jẹ́ ológun, tí ó sì jẹ́ díẹ̀ jùlọ?	O ti yan lati mu ọwọ rẹ nitori pe wọn jẹ kekere, ti o rọrun, ati julọ julọ, mimọ.
He was allowed plainly to perceive that it was the graceful, elegant young trifler from St. James's, Lord Julian Wade, to whom her every moment was devoted.	Lord Julian is from St. James's.	0	Wọ́n jẹ́ kí ó mọ̀ wípé ó jẹ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ St. James, Lord Julian Wade, ẹni tí wọ́n fi ìgbà gbogbo rẹ̀ sílẹ̀.	Oluwa Julian wa lati St. James.
He was allowed plainly to perceive that it was the graceful, elegant young trifler from St. James's, Lord Julian Wade, to whom her every moment was devoted.	She and Lord Julian Wade shared a kiss last night.	1	Wọ́n jẹ́ kí ó mọ̀ wípé ó jẹ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ St. James, Lord Julian Wade, ẹni tí wọ́n fi ìgbà gbogbo rẹ̀ sílẹ̀.	Oun ati Oluwa Julian Wade ṣe ifẹnukonu ni alẹ kọkanla.
He was allowed plainly to perceive that it was the graceful, elegant young trifler from St. James's, Lord Julian Wade, to whom her every moment was devoted.	She is infatuated with Lord Julian Wade, despite his bumbling nature.	2	Wọ́n jẹ́ kí ó mọ̀ wípé ó jẹ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ ọ̀dọ́ St. James, Lord Julian Wade, ẹni tí wọ́n fi ìgbà gbogbo rẹ̀ sílẹ̀.	O ti wa ni infatuated pẹlu Lord Julian Wade, pelu rẹ bumbling iseda.
But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.	The office screamed for minutes, enraged by the debauchery on his decks.	2	Ïî÷åìó... ïî÷åìó... ïî÷åìó ó ìåíÿ òàêîé ïðîáëåìó, ïî÷åìó ó ìåíÿ òàêîé ðàáîòó.	Awọn ọfiisi kigbe fun iṣẹju, binu nipasẹ awọn debauchery lori rẹ dekini.
But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.	The officer was confused by what was happening aboard the ship.	0	Ïî÷åìó... ïî÷åìó... ïî÷åìó ó ìåíÿ òàêîé ïðîáëåìó, ïî÷åìó ó ìåíÿ òàêîé ðàáîòó.	Ọ̀gá ọlọ́pàá náà dùn nípa ohun tí ó ń ṣẹlẹ̀ nínú ọkọ̀ náà.
But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.	The officer was shocked senseless by the vomiting onto the deck.	1	Ïî÷åìó... ïî÷åìó... ïî÷åìó ó ìåíÿ òàêîé ïðîáëåìó, ïî÷åìó ó ìåíÿ òàêîé ðàáîòó.	Òṣìṣẹ́ náà dùn gan-an nípasẹ̀ ìfọ̀fọ̀tẹ̀ lórí àgọ́.
You are Lord Julian Wade, I understand,  was his truculent greeting.	Lord Julian Wade provided a warm and welcoming greeting.	2	Ê òîìó æå, ïî÷åìó ïîëó÷èòüñÿ íà ïîëó÷èëñÿ, êîòîðûé ïîëó÷èëñÿ íà ïîëó÷èëñÿ.	Oluwa Julian Wade funni ni igbadun ati itẹwọgba.
You are Lord Julian Wade, I understand,  was his truculent greeting.	Lord Julian Wade welcomed others in a manner that would be considered truculent.	0	Ê òîìó æå, ïî÷åìó ïîëó÷èòüñÿ íà ïîëó÷èëñÿ, êîòîðûé ïîëó÷èëñÿ íà ïîëó÷èëñÿ.	Oluwa Julian Wade gba awọn miran ni ona ti yoo wa ni kà truculent.
You are Lord Julian Wade, I understand,  was his truculent greeting.	Though many had tried to approach him, Lord Wade was often cold and emotionless.	1	Ê òîìó æå, ïî÷åìó ïîëó÷èòüñÿ íà ïîëó÷èëñÿ, êîòîðûé ïîëó÷èëñÿ íà ïîëó÷èëñÿ.	Biotilẹjẹpe ọpọlọpọ awọn ti gbiyanju lati sunmọ ọ, Oluwa Wade jẹ igbagbogbo tutu ati ailera.
Mary Traill would tell you of it.	Mary Traill can tell you about the donkey.	1	Mary Trail yoo sọ fun ọ nipa rẹ.	Mary Traill le sọ fun ọ nipa awọn kẹkẹ.
Mary Traill would tell you of it.	Mary Traill knows about it.	0	Mary Trail yoo sọ fun ọ nipa rẹ.	Mary Trail mọ nipa eyi.
Mary Traill would tell you of it.	Only I know about it.	2	Mary Trail yoo sọ fun ọ nipa rẹ.	Emi nikan ni mo mọ nipa eyi.
There's a gallows waiting for this rascal in Port Royal.   Blood would have intervened at that, but Lord Julian forestalled him.	Blood is an international criminal organization based in Port Royal that Lord Julian contracts with for illicit purposes.	2	Nibẹ ni a gallows nduro fun yi rascal ni Port Royal. Ẹjẹ yoo ti intervened ni wipe, ṣugbọn Oluwa Julian forestalled u.	Ẹjẹ jẹ ẹgbẹ ẹlẹṣẹ agbaye ti o da ni Port Royal ti Oluwa Julian ṣe adehun pẹlu fun awọn idi ti ko tọ.
There's a gallows waiting for this rascal in Port Royal.   Blood would have intervened at that, but Lord Julian forestalled him.	Lord Julian's domain includes Port Royal, a trade city that is a hub of activity in the region.	1	Nibẹ ni a gallows nduro fun yi rascal ni Port Royal. Ẹjẹ yoo ti intervened ni wipe, ṣugbọn Oluwa Julian forestalled u.	Oluwa Julian ká ašẹ pẹlu Port Royal, a isowo ilu ti o jẹ a ibudo ti iṣẹ-ṣiṣe ni ekun.
There's a gallows waiting for this rascal in Port Royal.   Blood would have intervened at that, but Lord Julian forestalled him.	Port Royal has facilities for punishing criminals.	0	Nibẹ ni a gallows nduro fun yi rascal ni Port Royal. Ẹjẹ yoo ti intervened ni wipe, ṣugbọn Oluwa Julian forestalled u.	Port Royal ni awọn ohun elo fun awọn ẹlẹṣẹ idajọ.
It'll not be Bishop himself,  said Wolverstone, between question and assertion.	Wolverstone had asked a question that demonstrated his assertiveness to others.	0	"Wolverstone sọ pe, ""Ko si ọkan ninu awọn eniyan ti o ni imọran ti o ni imọran ati ti o ni imọran."	Ïðè ýòîì ãîäó ó ìåíÿ íå ìîãóò áûòü ïîëó÷èòüñÿ.
It'll not be Bishop himself,  said Wolverstone, between question and assertion.	Wolverstone had mentioned the Bishop to be one who was very pretty.	1	"Wolverstone sọ pe, ""Ko si ọkan ninu awọn eniyan ti o ni imọran ti o ni imọran ati ti o ni imọran."	Wolverstone ti sọ Bishop lati wa ni ọkan ti o wà gan lẹwa.
It'll not be Bishop himself,  said Wolverstone, between question and assertion.	Wolverstone never said anything about the Bishop.	2	"Wolverstone sọ pe, ""Ko si ọkan ninu awọn eniyan ti o ni imọran ti o ni imọran ati ti o ni imọran."	Wolverstone kò sọ ohunkohun nipa awọn Bishop.
Will you cease your blather of mutiny and treason and courts-martial?   Blood put on his hat, and sat down unbidden.	Blood had a hat that he wore before sitting down.	0	Ǹjẹ́ ìwọ yóò dẹ́kun ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà?	Ẹ̀jẹ̀ ní àkúta tí ó fi wọ́n ṣáájú kí ó tó jókòó.
Will you cease your blather of mutiny and treason and courts-martial?   Blood put on his hat, and sat down unbidden.	Blood put on his hat, and left the room without saying anything.	2	Ǹjẹ́ ìwọ yóò dẹ́kun ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà?	Ẹ̀jẹ̀ fi kúrò lórí kòtẹ́milọ́rùn rẹ̀, ó sì kúrò ní yàrá náà láì sọ ohunkohun.
Will you cease your blather of mutiny and treason and courts-martial?   Blood put on his hat, and sat down unbidden.	Blood's hat was black, with three eagle feathers on it.	1	Ǹjẹ́ ìwọ yóò dẹ́kun ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà ìwà?	Ïðè ýòîì ãîäó íà ðàáîòó, êîòîðûé ðàáîòó íà ðàáîòó 3 ðóáëåé.
Things had not sped at all well with him in the past fortnight since his acceptance of the King's commission.	He slept soundly at night knowing he had rejected the King's commission.	2	Ko si ohun ti o ṣẹlẹ ni gbogbo daradara pẹlu rẹ ni oru ti o ti kọja lati igba ti o ti gba ti awọn ọba igbimọ.	O si sùn daradara ni alẹ mọ pe o ti kọ iṣẹ ọba.
Things had not sped at all well with him in the past fortnight since his acceptance of the King's commission.	Keeping him up at night was the fact that he accepted the King's commission.	0	Ko si ohun ti o ṣẹlẹ ni gbogbo daradara pẹlu rẹ ni oru ti o ti kọja lati igba ti o ti gba ti awọn ọba igbimọ.	Nítorí náà, nígbà tí wọ́n gbé e sókè ní alẹ̀, ó gba ìgbìmọ̀ ọba.
Things had not sped at all well with him in the past fortnight since his acceptance of the King's commission.	The King's commission was a very prestigious title with many responsibilities.	1	Ko si ohun ti o ṣẹlẹ ni gbogbo daradara pẹlu rẹ ni oru ti o ti kọja lati igba ti o ti gba ti awọn ọba igbimọ.	Ile-iṣẹ ọba jẹ akọle ti o dara julọ pẹlu ọpọlọpọ awọn ojuse.
They are within range,  cried Ogle.	Ogle said that they were reachable.	0	Êîãäà îíè íå ñëîâà, êîãäà íå ìîæåò áûòü.	Òîãäà îíè íà ñàìîì äåëå.
They are within range,  cried Ogle.	Ogle said that they were within earshot.	1	Êîãäà îíè íå ñëîâà, êîãäà íå ìîæåò áûòü.	Ogle sọ wípé wọ́n wà láàárín ìṣẹ̀lẹ̀.
